,address,data,fidelity,valid_portion,select
214,++,0110,0.5898511544850354,1.0,False
215,++,0111,0.5463201556119278,1.0,False
216,++,1000,0.6044168651814263,1.0,False
217,++,1001,0.5833570891647476,1.0,False
218,++,1010,0.6130818778548751,1.0,False
210,++,0010,0.6107568423606724,1.0,False
219,++,1011,0.6336469174980133,1.0,False
220,++,1100,0.5853525773100418,1.0,False
221,++,1101,0.598376860963686,1.0,False
222,++,1110,0.5976372810783281,1.0,False
223,++,1111,0.6165183868996357,1.0,False
209,++,0001,0.575264591567935,1.0,False
78,++,1110,0.7543964078395252,0.6426559622487805,True
79,++,1111,0.753934708156174,0.6554062993073703,True
64,++,0000,0.7463202451820486,0.6486077829452895,True
65,++,0001,0.7322514107987304,0.6386393588380825,True
66,++,0010,0.7715238873079729,0.6630136906489743,True
68,++,0100,0.7454316499951824,0.650420596975862,True
69,++,0101,0.7504749074260572,0.6504181184334792,True
70,++,0110,0.7485330873142534,0.658318872640592,True
71,++,0111,0.7058104613447613,0.6469385252665347,True
72,++,1000,0.7742089078105476,0.657784704921621,True
73,++,1001,0.7523855993050261,0.6532508469611144,True
74,++,1010,0.7716436220807683,0.6707585833270194,True
75,++,1011,0.7737895522267084,0.6826732667476736,True
76,++,1100,0.7335105131689409,0.672633956567886,True
77,++,1101,0.7485902809365268,0.6657418459645571,True
208,++,0000,0.5941466075810441,1.0,False
67,++,0011,0.7409633835819094,0.6746789255254881,True
